Emotions,Path
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-01-01-02-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-01-02-01-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-01-02-02-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-02-01-01-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-02-01-02-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-02-02-01-02.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-03-02-02-02-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-01-01-01-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-01-01-02-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-01-02-01-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-01-02-02-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-02-01-01-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-02-01-02-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-02-02-01-02.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-04-02-02-02-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-01-01-01-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-01-01-02-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-01-02-01-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-01-02-02-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-02-01-01-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-02-01-02-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-02-02-01-02.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-05-02-02-02-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-01-01-01-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-01-01-02-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-01-02-01-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-01-02-02-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-02-01-01-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-02-01-02-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-02-02-01-02.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-06-02-02-02-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-01-01-01-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-01-01-02-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-01-02-01-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-01-02-02-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-02-01-01-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-02-01-02-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-02-02-01-02.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-07-02-02-02-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-01-01-01-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-01-01-02-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-01-02-01-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-01-02-02-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-02-01-01-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-02-01-02-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-02-02-01-02.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_02/03-01-08-02-02-02-02.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-01-01-01-01-03.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-01-01-01-02-03.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-01-01-02-01-03.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-01-01-02-02-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-01-01-01-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-01-01-02-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-01-02-01-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-01-02-02-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-02-01-01-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-02-01-02-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-02-02-01-03.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-02-02-02-02-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-01-01-01-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-01-01-02-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-01-02-01-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-01-02-02-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-02-01-01-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-02-01-02-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-02-02-01-03.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-03-02-02-02-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-01-01-01-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-01-01-02-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-01-02-01-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-01-02-02-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-02-01-01-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-02-01-02-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-02-02-01-03.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-04-02-02-02-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-01-01-01-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-01-01-02-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-01-02-01-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-01-02-02-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-02-01-01-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-02-01-02-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-02-02-01-03.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-05-02-02-02-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-01-01-01-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-01-01-02-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-01-02-01-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-01-02-02-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-02-01-01-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-02-01-02-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-02-02-01-03.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-06-02-02-02-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-01-01-01-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-01-01-02-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-01-02-01-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-01-02-02-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-02-01-01-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-02-01-02-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-02-02-01-03.wav
Disgust,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-07-02-02-02-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-01-01-01-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-01-01-02-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-01-02-01-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-01-02-02-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-02-01-01-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-02-01-02-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-02-02-01-03.wav
Surprised,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_03/03-01-08-02-02-02-03.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-01-01-01-01-04.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-01-01-01-02-04.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-01-01-02-01-04.wav
Neutral,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-01-01-02-02-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-01-01-01-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-01-01-02-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-01-02-01-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-01-02-02-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-02-01-01-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-02-01-02-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-02-02-01-04.wav
Calm,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-02-02-02-02-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-01-01-01-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-01-01-02-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-01-02-01-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-01-02-02-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-02-01-01-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-02-01-02-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-02-02-01-04.wav
Happy,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-03-02-02-02-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-01-01-01-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-01-01-02-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-01-02-01-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-01-02-02-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-02-01-01-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-02-01-02-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-02-02-01-04.wav
Sad,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-04-02-02-02-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-01-01-01-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-01-01-02-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-01-02-01-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-01-02-02-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-02-01-01-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-02-01-02-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-02-02-01-04.wav
Angry,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-05-02-02-02-04.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-06-01-01-01-04.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-06-01-01-02-04.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-06-01-02-01-04.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-06-01-02-02-04.wav
Fear,E:\5_sem_Mini_Project\Audio_dataset\audio_speech_actors_01-24\Actor_04/03-01-06-02-01-01-04.wav
